tail_number,total_flight_cycles,manufacture_year,last_c_check_cycle,open_deferred_ata
N823AN,18450,2004,17200,36-11
N917AN,22100,2001,21500,
N341AN,15300,2007,14800,49-31
N788AN,24800,1999,23900,32-41
N456UA,12100,2012,11800,
N112SW,19700,2003,18900,
N334SW,16800,2006,16200,22-11
N221WN,21300,2002,20100,
N889DL,23500,2000,22800,71-00
N554DL,14200,2010,13900,
N221UA,17600,2005,16900,
N445AA,20400,2003,19600,29-11
N667UA,13800,2011,13400,
N334AA,25100,1999,24300,32-00
N778DL,11500,2013,11200,
N901SW,18900,2004,18100,
N223UA,16100,2007,15500,
N445DL,22700,2001,21900,75-31
N112AA,14700,2010,14300,
N334DL,19200,2004,18400,
